Tanggal,Penulis,Judul,Artikel,Label
" Minggu, 26 November 2023 08:41 WIB",Penerjemah: Lia Wanadriani SantosaEditor: Maria Rosari Dwi Putri  COPYRIGHT © ANTARA 2023,Sunwoo THE BOYZ alami neuralgia dan neuritis,"     Jakarta (ANTARA) - Penyanyi idola yang tergabung dalam grup K-pop THE BOYZ, Sunwoo didiagnosis neuralgia dan neuritis di area leher dan bahu, demikian diungkap agensi IST Entertainment pada Sabtu (25/11) waktu setempat.   Neuralgia merupakan rasa sakit yang disebabkan oleh saraf rusak atau teriritasi.​​​​​​ Sementara neuritis adalah peradangan saraf tepi.   Sunwoo seperti disiarkan Soompi disarankan dokter untuk meminimalisirgerakan berlebihan untuk saat ini kendati ingin mengambil bagian dalam promosi comeback THE BOYZ untuk album baru mereka.  Baca juga: THE BOYZ siap ""comeback"" November tahun ini   Baca juga: THE BOYZ dalam tiga jam ""ZENERATION IN JAKARTA""   ""Kami memilih untuk menghormati pendapat artis dan diputuskan bahwa dia akan melanjutkan aktivitasnya sejauh yang dia bisa tanpa memaksakan diri,"" kata agensi.   Menurut agensi, Sunwoo akan bergabung dengan kegiatan THE BOYZyang akan datang dan mengambil bagian dalam acara penandatanganan penggemar yang dijadwalkan.   Agensi IST Entertainment mengatakan Sunwoo sempat mengeluh sakit di area leher dan bahunya. Mereka sempat berencana membawa Sunwoo ke rumah sakit segera untuk mendapatkan diagnosis dan perawatan.   Namun rencana itu urung karena Sunwoo ingin berpartisipasi dalam penampilan THE BOYZ di episode “Music Bank” pada 24 November lalu.   Agensi kemudian memutuskan untuk membawa sang idola ke rumah sakit setelah pra-rekaman.  Baca juga: Sunwoo, Q, dan New ""The Boyz"" siapkan proyek baru sebagai trio   Baca juga: Sunwoo THE BOYZ akan hiatus sementara karena alami masalah kesehatan   Baca juga: The Boyz tampilkan ""Stealer"" dengan enerjik di Tokopedia WIBPenerjemah: Lia Wanadriani SantosaEditor: Maria Rosari Dwi Putri    COPYRIGHT © ANTARA 2023 ",hiburan
" Kamis, 30 November 2023 15:35 WIB",Pewarta: Immanuel Citra SenjayaEditor: Fransiska Ninditya  COPYRIGHT © ANTARA 2023,Lapas Semarang: Eddy Rumpoko meninggal di Kariadi karena gagal jantung,"     Semarang (ANTARA) - Kepala Lembaga Permasyarakatan (Lapas) Kelas I Semarang, Jawa Tengah, UsmanMadjidmenyatakan mantan wali kota Batu, Jawa Timur, Eddy Rumpokomeninggal dunia karena gagal jantung (cardiacarrest) saat dirawat diRSUPDr. KariadiSemarang, Kamis.   Eddy Rumpoko, yang merupakan terpidana kasus korupsi, sudah menjalani perawatan medis di RSUP Dr.Kariadi sejak Selasa (28/11).   Usmanmenjelaskan Eddy sudah mengeluhkan sakit sejak Minggu (26/11) dan telah mendapat penanganan dari dokter lapas.   Setelah sempat membaik pada Senin (27/11), lanjutUsmad, Eddy kembali mengeluh sakit hingga akhirnya dirujuk ke RSUP Dr.Kariadi.   ""Kami sudah berkoordinasi dengan keluarga yang bersangkutan dan telah menemani selama dirawat di rumah sakit,"" kata Usmandalam keterangan yang diterima di Semarang, Jawa Tengah, Kamis.   Tim dokter di RSUPDr. Kariadipun sempat memberitahukan kondisi pasien membaik pada Rabu (29/11). Bahkan, tambah Usman, Eddy direncanakan akan kembali ke lapas pada Kamis.  Baca juga: KPK limpahkan berkas Eddy Rumpoko terkait perkara gratifikasi   Namun, Kamis, sekitar pukul 05.11 WIB, Eddy Rumpoko dilaporkan meninggal dunia oleh petugas rumah sakit karena gagal jantung.   Pihak Lapas Kelas I Semarang telah berkoordinasi dengan keluarga Eddy untuk mengurus kepulangan jenazah ke Kota Batu, Jawa Timur.   Selama menjalani hukuman di Lapas Kelas I Semarang, UsmanmenilaiEddy memiliki catatan kesehatan berupa penyakit diabetes dan gangguan jantung kronis.   ""Yang bersangkutan sudah menjalani rawat jalan dengan dokter RSUP Dr.Kariadi,"" ujar Usman.   Eddy Rumpoko merupakan terpidana kasus dugaan korupsi yang dijatuhi hukuman tujuh tahun penjara oleh Pengadilan Tindak Pidana Korupsi (Tipikor) pada Pengadilan Negeri (PN) Surabaya, Jawa Timur.Eddy menjalani hukuman di Lapas Kelas I Semarang sejak bulan Mei 2022.  Baca juga: Mantan Wali Kota Batu Eddy Rumpoko meninggal dunia Pewarta: Immanuel Citra SenjayaEditor: Fransiska Ninditya    COPYRIGHT © ANTARA 2023 ",hukum
" Kamis, 30 November 2023 15:15 WIB",Pewarta: M.Ali KhumainiEditor: Laode Masrafi  COPYRIGHT © ANTARA 2023,Dua orang meninggal dalam kecelakaan di jalan Tol Cipularang,"     Purwakarta (ANTARA) - Dua orang meninggal dunia dan empat orang lainnya mengalami luka-luka dalam peristiwa kecelakaan lalu lintas di KM 75 jalan Tol Cipularang wilayah Kabupaten Purwakarta, Jawa Barat.   Kanit PJR Tol Cipularang, IPDA Triyunadi saat dihubungi di Purwakarta, Kamis, mengatakan, dalam kecelakaan yang terjadi pada Kamis dini hari itu melibatkan kendaraan minibus Elf nopol D-7337-AI dengan truk bermuatan batu bara nopol B-9050-ZJ.   Dia menyebutkan peristiwa kecelakaan lalu lintas itu terjadi saat kendaraan Elf melaju di jalan Tol Cipularang dari arah Jakarta menuju Bandung.   Saat melintasi KM 75 diduga supir Elf mengantuk yang mengakibatkan kendaraan tersebut hilang kendali hingga menabrak truk yang ada di depannya.   Setelah menabrak kendaraan truk itu, mobil Elf itu ringsek, tersangkut dan terseret sampai 100 meter.   Dua korban meninggal akibat kecelakaan lalu lintas itu di antaranya Aip Sarip Hidayat (62), warga Kampung Gunungjajar, Desa Cikunir, Kecamatan Singaparna, Kabupaten Tasikmalaya serta Isoh Sobartini (60), warga Desa Singasari, Kecamatan Singaparna, Kabupaten Tasikmalaya.   Keduanya meninggal dunia di lokasi kejadian. Sedangkan empat orang yang mengalami luka-luka di antaranya Haris (54), warga Kampung Panyeredan, Desa Margajaya, Kecamatan Mangunreja, Kabupaten Tasikmalaya serta Ii Tri Arisulistio (54) warga Kampung Sindangsari, Desa Sukarasa, Kecamatan Sukarame, Kabupaten Tasikmalaya.   Dua korban luka-luka lainnya ialah Surahman (43) warga Kampung Babakan Peteuy, Desa Purwarahayu, Kecamatan Taraju, Kabupaten Tasikmalaya, danMelisa Trisana Handayani (19) warga Kampung Golacir Gunung, Desa Cilampung Hilir, Kecamatan Padakembang, Kabupaten Tasikmalaya.   Dua korban yang meninggal dunia dan empat korban lainnya yang mengalami luka-luka selanjutnya dibawa ke Rumah Sakit Abdul Radjak, Kabupaten Purwakarta, untuk mendapatkan perawatan.  Pewarta: M.Ali KhumainiEditor: Laode Masrafi    COPYRIGHT © ANTARA 2023 ",hukum
" Kamis, 30 November 2023 14:34 WIB",Pewarta: Fianda Sjofjan RassatEditor: Fransiska Ninditya  COPYRIGHT © ANTARA 2023,KPK panggil penyanyi Nayunda Nabila Nirzinah terkait perkara SYL,"     Jakarta (ANTARA) - Penyidik Komisi Pemberantasan Korupsi (KPK), Kamis, memanggil penyanyi Nayunda Nabila Nirzinah untuk diperiksa sebagai saksi dalam kasus dugaan korupsi di Kementerian Pertanian (Kementan), dengan tersangka mantan menteri pertanianSyahrul Yasin Limpo (SYL).   ""Hari ini pemeriksaan saksi tindak pidana korupsi di Kementan RI, dengan tersangka SYL dan kawan-kawan, atas nama Nayunda Nabila Nirzinah,"" kata Kepala Bagian Pemberitaan KPK Ali Fikri saat dikonfirmasi di Jakarta, Kamis.   Ali menjelaskanNayundamenjalani pemeriksaan di Gedung Merah Putih KPK, Jakarta Selatan. Meski demikian Ali belum memberikan keterangan lebih lanjut mengenai alasan pemanggilan terhadapNayunda.   Selain itu, Kamis, penyidik KPK juga menjadwalkan pemeriksaan terhadap ajudan mentan bernama Panji Harjanto; direkturSerelia Ismail Wahab;Direktur PT. Centra Biotech Indonesia Adam Sediyodadi Putra; serta dua pihak swasta yakni Fajar Noviandra dan Nur Habibah Al Majid.  Baca juga: SYL siap mempertanggungjawabkan perbuatannya   Pada tanggal 13 Oktober 2023, KPK secara resmi menahan SYL dan Direktur Alat dan Mesin Pertanian Kementerian Pertanian (Kementan) Muhammad Hatta (MH) terkait kasus dugaan tindak pidana korupsi di Kementan.   Perkara dugaan korupsi tersebut bermula saat SYL menjabat sebagai mentan periode 2019 sampai 2024. Dengan jabatannya itu, SYL membuat kebijakan personal, di antaranya melakukan pungutan hingga menerima setoran dari aparatur sipil negara (ASN) Kementan untuk memenuhi kebutuhan pribadidan keluarganya.   Kurun waktu kebijakan SYL memungut hingga menerima setoran tersebut berlangsung dari tahun 2020 sampai 2023.  Baca juga: Penyidik KPK panggil enam saksi terkait kasus korupsi SYL   SYL menugaskan Sekretaris Jenderal Kementan Kasdi Subagyono (KS) dan Muhammad Hatta melakukan penarikan sejumlah uang dari unit eselon I dan II dalam bentuk tunai, transfer rekening bank, hingga pemberian barang maupun jasa.   Atas arahan SYL, Kasdi dan Hatta lalu memerintahkan bawahannya untuk mengumpulkan sejumlah uang di lingkup eselon I, yakni para direktur jenderal, kepala badan, hingga sekretaris masing-masing eselon I.   Besaran nilai uang tersebut telah ditentukan SYL dengan kisaran 4.000-10.000 dolar AS. Penerimaan uang melalui Kasdi dan Hatta itu dilakukan rutin setiap bulan dengan menggunakan pecahan mata uang asing.  Baca juga: Anggota DPR Vita Ervina diperiksa tujuh jam oleh KPK   KPK mencatat uang yang dinikmati SYL bersama dengan KS dan MH, sebagai bukti permulaan, berjumlah sekitar Rp13,9 miliar. Meski demikian, tim penyidik KPK masih terus melakukan penelusuran lebih mendalam terhadap jumlah pastinya.   Para tersangka disangkakan melanggar Pasal 12 huruf e dan 12B Undang-Undang Republik Indonesia Nomor 31 Tahun 1999 tentang Pemberantasan Tindakan Pidana Korupsi sebagaimana telah diubah dengan Undang-Undang Republik Indonesia Nomor 20 Tahun 2001 tentang Perubahan Atas Undang-Undang Republik Indonesia Nomor 31 Tahun 1999 tentang Pemberantasan Tindakan Pidana Korupsi jo Pasal 55 ayat (1) ke-1 KUHP.   Sedangkan tersangka SYL, turut pula disangkakan melanggar Pasal 3 dan/atau 4 Undang-Undang Nomor 8 Tahun 2010 tentang Tindak Pidana Pencucian Uang (TPPU).  Baca juga: KPK kembali panggil Dirjen PSP Kementan Ali JamilPewarta: Fianda Sjofjan RassatEditor: Fransiska Ninditya    COPYRIGHT © ANTARA 2023 ",hukum
" Kamis, 30 November 2023 14:23 WIB",,PWI gelar dialog bersama Ganjar Pranowo,,hukum
" Kamis, 30 November 2023 14:21 WIB",Pewarta: Laily RahmawatyEditor: Guido Merung  COPYRIGHT © ANTARA 2023,Saut Situmorang sebut hukuman Firli bisa seumur hidup,"     Jakarta (ANTARA) - Mantan Pimpinan Komisi Pemberantasan Korupsi (KPK) Thony Saut Sitomorang menyebut pelanggaran Pasal 12 E yang disangkakan kepada Firli Bahuri dapat membuatnya dihukum pidana penjara seumur hidup.    “Ya kalau Pasal 12 huruf E besar itu kan memaksa ya. Ya kalau bisa kan hukumannya seumur hidup itu,” kata Saut saat ditanyai wartawan saat tiba di Gedung Bareskrim Polri, Jakarta, Kamis siang.    Hal itu disampaikan Saut saat wartawan menanyakan apa saja persiapan yang dibawanya saat menjalani pemeriksaan hari ini di ruang pemeriksaan Dittipidkor Bareskrim Polri lantai 6.    Saat pun menjawab pertanyaan tersebut dengan santai dan mengarah pada sanksi hukuman yang akan diterima oleh Firli.    Menurut Saut, dirinya hadir memenuhi panggilan penyidik untuk diperiksa sebagai saksi.    Sebenarnya, kata dia, surat panggilan terhadap dirinya sudah dilayangkan empat hari yang lalu, namun baru bisa hadir memenuhi panggilan hari ini.    “Hari ini saya dipanggil, suratnya sih sebenarnya sudah hampir empat hari ya, tapi karena saya ke Padang, Universitas Andalas, diskusi dengan mahasiswa, Rocky Gerung juga ada, jadi baru diundang hari ini. Udah gitu aja,” kata Saut.    Terkait pemeriksaan Firli Bahuri sebagai tersangka yang dijadwalkan Jumat (1/12) besok, awalnya Saut enggan berkomentar. Namun, ia berpikir positif bawa Ketua KPK non-aktif itu akan hadir memenuhi panggilan penyidik dengan sikap bijaksana.    “Ya saya pikir dia (Firli) wise (bijaksana), dia bisa nerima kenyataan. Oke,” kata Saut.    Saut Sitomorang, satu dari empat Wakil Ketua KPK mendampingi Ketua KPK Agus Rahardjo tahun 2015-2019 menjadi salah satu dari delapan saksi yang diperiksa oleh penyidik gabungan Subdit Tipidkor Ditreskrimsus Polda Metro Jaya dan Dittipidkor Bareskrim Polri.    Dua dari delapan saksi diperiksa di Bareskrim Polri, yakni Saut dan Tin Latifa dari Kementerian. Sedangkan enam saksi lainnya diperiksa di Subdit Tipidkor Ditreskrimsus Polda Metro Jaya.   Sebelumnya, Saut juga sudah pernah dimintai keterangan oleh penyidik di Polda Metro Jaya pada Selasa (17/10) dengan kapasitasnya sebagai saksi ahli.    Polda Metro Jaya telah menetapkan Firli Bahuri sebagai tersangka dalam kasus dugaan pemerasan oleh pimpinan KPK terhadap mantan Menteri Pertanian Syahrul Yasin Limpo (SYL) pada Rabu (22/11).    Penyidik Direktorat Reserse Kriminal Khusus Polda Metro Jaya pun sudah melayangkan surat pemanggilan kepada Firli Bahuri sebagai tersangka pada Selasa (28/11).  Pemeriksaan terhadap Firli dengan status sebagai tersangka akan dilakukan pada pukul 09.00 WIB di Ruang Riksa Direktorat Tindak Pidana Korupsi (Dittipidkor) Bareskrim Polri.    Firli Bahuri (FB) ditetapkan sebagai tersangka sebagaimana dimaksud dalam Pasal 12 e atau Pasal 12 B atau pasal 11 Undang-Undang Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi sebagaimana diubah dan ditambah dengan Undang-Undang Nomor 20 Tahun 2001 tentang Perubahan Undang-Undang Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi sebagaimana yang diubah dan ditambah dengan UU Nomor 20 Tahun 2001 tentang Perubahan UU Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi juncto pasal 65 KUHP yang terjadi di wilayah hukum Polda Metro Jaya pada sekira tahun 2020 sampai 2023. Baca juga: Saut ditanya pasal larangan pimpinan KPK bertemu pada UU KPK  Baca juga: Eks Wakil Ketua KPK Saut Situmorang dipanggil polisi terkait SYL  Baca juga: Saut: IPK Indonesia bakal naik kalau kasus pemerasan SYL diusut tuntasPewarta: Laily RahmawatyEditor: Guido Merung    COPYRIGHT © ANTARA 2023 ",hukum
" Kamis, 30 November 2023 14:14 WIB",Pewarta: La Ode Muh. Deden SaputraEditor: Guido Merung  COPYRIGHT © ANTARA 2023,BP3MI Sultra pulangkan 7 calon PMI non-prosedural asal Muna Barat,"     Kendari (ANTARA) - Balai Pelayanan Perlindungan Pekerja Migran Indonesia(BP3MI) Provinsi Sulawesi Tenggara (Sultra) memulangkan tujuh calon Pekerja Migran Indonesia (PMI) nonprosedural asal Kabupaten Muna Barat (Mubar) yang hendak berangkat ke Malaysia melewati jalur yang tidak resmi atau ilegal.   Kepala BP3MI La Ode Askar saat ditemui di Kendari, Kamis, mengatakan bahwa ke tujuh calon PMI tersebut dipulangkan ke daerah asalnya, yakni Kecamatan Wadaga, Kabupaten Muna Barat setelah dicekal dan ditahan beberapa hari oleh petugas imigrasi   ""Ke tujuh calon PMI tersebut sebelumnya ditahan oleh petugas imigrasi Entikong Pontianak, Kalimantan Barat karena tidak memiliki dokumen yang lengkap saat hendak melewati perbatasan,"" kata La Ode Askar.   Dia menyebutkan bahwa dalam perjalanan ke tujuh calon PMI tersebut hanya bermodalkan paspor untuk pergi ke tempat tujuan mereka, yakni Malaysia.   ""Mereka ini tujuan berangkat ke Malaysia tetapi mereka tidak punya dokumen lengkap, mereka hanya bermodalkan paspor lalu berangkat dengan cara yang non-prosedural,"" ujar Askar.   Ia menjelaskan bahwa dalam prosesnya, para pekerja migran yang hendak berangkat keluar negeri harus memiliki dokumen lengkap agar bisa mendapat jaminan baik dari segi keselamatan, hukum, sosial, dan ekonomi dari negara.   ""Ketika berangkat dengan tidak memiliki dokumen kerja, maka secara hukum dia berada di negara penempatan dia tidak dapat dilindungi oleh negara,"" ungkapnya.   Sementara itu, menurut salah seorang calon PMI gelap La Ode Ichlas mengaku berangkat karena dijanjikan pekerjaan yang layak oleh seseorang meski tanpa memiliki dokumen lengkap.   Ia membeberkan bahwa dalam keberangkatannya tersebut, dia bersama enam rekannya bernama La Sina, Kardion, Wa Ode Uluwu, La Ode Sifu Binani, Rahman Sofi Siba, dan La Saingkuni akan dipekerjakan di perkebunan kelapa sawit di Malaysia.   ""Awalnya dapat informasi dari teman. Kita berangkat dari Kendari, pas tiba di Kalimantan kita ditahan di ruangan ditempat cek paspor langsung kita diserahkan ke Polsek Entikong,"" tambah La Ode Ichlas. Baca juga: BP3MI: Lima PMI asal Sultra bermasalah dipulangkan ke Indonesia  Baca juga: BP2MI mengajak Pemprov Sultra berantas sindikat pekerja migran ilegal  Pewarta: La Ode Muh. Deden SaputraEditor: Guido Merung    COPYRIGHT © ANTARA 2023 ",hukum
" Kamis, 30 November 2023 13:41 WIB",Pewarta: Mohamad Ridwan/Kristina NataliaEditor: Hisar Sitanggang  COPYRIGHT © ANTARA 2023,Kejati Sulteng segera tetapkan tersangka dugaan korupsi di Bawaslu,"     Palu (ANTARA) - Kejaksaan Tinggi (Kejati) Sulawesi Tengah segera menetapkan tersangka kasus dugaan korupsi dana hibah Pilkada2020 pada Badan Pengawas Pemilihan Umum (Bawaslu) Sulteng senilai Rp56 miliar.   ""Sudah ada nama calon tersangka, apakah statusnya ASN atau komisioner tunggu waktunya akan disampaikan kembali,"" kata Plt Kasipenkum Kejati Sulteng Abdul Haris Kiay di Palu, Kamis.      Ia mengemukakannama calon tersangka diperoleh setelah keluar hasil perhitungan kerugian negara yang dilakukan oleh Badan Pengawasan Keuangan dan Pembangunan (BPKP) perwakilan Sulteng beberapa waktu lalu.   ""Kami telah menggelar eksposperkara guna menentukan tersangka, dan awal Desember penyidik akan menetapkan tersangka terkait kasus itu,"" ujarnya.      Lanjut Haris, pihak Bawaslu Sulteng yang diperiksa sudah mengembalikan uang senilai Rp200 juta dengan cara dicicil.   Meski pengembalian dilakukan, proses hukum terkait dugaan korupsi dana hibah dari Pemprov Sulteng ke Bawaslu tetap berlanjut, dan ini menjadi atensi Kejati.      Tim penyidik kejaksaan juga telah melakukan penggeledahan dan menyita sejumlah dokumen berkaitan dengan kasus tersebut di beberapa satuan kerja (Satker), baik di Bawaslu Sulteng maupun Bawaslu Kabupaten.      ""Sekitar 30-an saksi sudah diperiksa penyidik atas kasus ini. Kami berkomitmen melakukan penegakan hukum, meski Bawaslu beritikad mengembalikan uang tersebut, dalam artian proses penyidikan tetap berlanjut,"" katanya.   Penggeledahan dilakukan penyidik di Kantor Bawaslu Sulteng pada 23 Februari 2023, Bawaslu Kabupaten Donggala 28 Februari, Bawaslu Parigi Moutong 1 Maret dan Bawaslu Banggai Kepulauan 13 Maret.Pewarta: Mohamad Ridwan/Kristina NataliaEditor: Hisar Sitanggang    COPYRIGHT © ANTARA 2023 ",hukum
" Kamis, 30 November 2023 13:28 WIB",Pewarta: Laily RahmawatyEditor: Didik Kusbiantoro  COPYRIGHT © ANTARA 2023,Aktivis: Firli tak punya alasan mangkir dari pemeriksaan sebagai tersangka," Drama saat pemanggilan saksi tentu harus sudah ditinggalkan dan tidak perlu terjadi lagiJakarta (ANTARA) - Aktivis antikorupsi Yudi Purnomo Harahap mengatakan Ketua KPK nonaktif Firli Bahuri tidak punya alasan untuk mangkir dari panggilan penyidik sebagai tersangka kasus dugaan pemerasan terhadap mantan Menteri Pertanian Syahrul Yasin Limpo (SYL) pada Jumat (1/12).   ""Dengan posisi nonaktif, apalagi KPK sudah menyatakan bahwa akses ke KPK diputus dan tidak lagi dilibatkan dalam tugas KPK, maka sudah tidak ada lagi alasan bagi Firli untuk mangkir,"" kata YudiPurnomodihubungi di Jakarta, Kamis.   Selain itu, kata Yudi, penyidik Direktorat Reserse Kriminal Khusus Polda Metro Jaya sudah menerbitkan permohonan pencekalan ke luar negeri terhadap Firli kepada Ditjen Imigrasi Kementerian Hukum dan HAM.   ""Apalagi Firli sudah dicekal untuk tidak bisa berpergian ke luar negeri oleh penyidik,"" tambahYudi.  Baca juga: Polisi segera panggil Firli Bahuri sebagai tersangka   Mantan Ketua Wadah Pegawai KPK itu berpendapatsikap kooperatif tanpa mangkir dari FirliBahuri merupakan wujud kepatuhan terhadap hukum, mengingat peran Firli sangat sentral dalam kasus tersebut setelah ditetapkan sebagai tersangka.   Oleh karena itu, Yudi berharap FirliBahuri memenuhi panggilan penyidik untuk dimintai keterangan sebagai tersangka pada Jumat (1/12).   ""Drama saat pemanggilan saksi tentu harus sudah ditinggalkan dan tidak perlu terjadi lagi,""katanya.   Pada Rabu (22/11), Polda Metro Jaya telah menetapkan Firli Bahuri sebagai tersangka kasus dugaan pemerasan terhadap mantan Menteri Pertanian Syahrul Yasin Limpo (SYL).  Baca juga: KPK batal berikan bantuan hukum terhadap Firli Bahuri   Penyidik Direktorat Reserse Kriminal Khusus Polda Metro Jaya pun sudah melayangkan surat pemanggilan kepada Firli Bahuri sebagai tersangka pada Selasa (28/11).   Pemeriksaan terhadap Firli dengan status sebagai tersangka akan dilakukan pada pukul 09.00 WIB di Ruang Riksa Direktorat Tindak Pidana Korupsi Bareskrim Polri.   ""Pemeriksaan tersebut akan dilakukan oleh penyidik gabungan Subdit Tipidkor Ditreskrimsus Polda Metro Jaya dan Dittipidkor Bareskrim Polri,""kata Humas Polda Metro Jaya Komisaris Besar Polisi Trunoyudo Wisnu Andiko saat dikonfirmasi di Jakarta, Selasa (28/11).   Firli Bahuri ditetapkan sebagai tersangka sebagaimana dimaksud padaPasal 12 e atau Pasal 12 B atau Pasal 11 Undang-Undang Nomor 31 Tahun 1999 sebagaimana diubah dan ditambah dengan Undang-Undang Nomor 20 Tahun 2001 tentang Pemberantasan Tindak Pidana Korupsi junctoPasal 65 KUHP.  Baca juga: Nawawi sebut Firli sementara tak perlu berkantor di KPK  Baca juga: Sikap KPK dalam kasus Firli bisa tumbuhkan kepercayaan masyarakatPewarta: Laily RahmawatyEditor: Didik Kusbiantoro    COPYRIGHT © ANTARA 2023 ",hukum
" Kamis, 30 November 2023 13:05 WIB",Pewarta: Ilham Yude PratamaEditor: Endang Sukarelawati  COPYRIGHT © ANTARA 2023,Kementerian PUPR serahkan dua bangunan rusun kepada BP Batam,"     Batam (ANTARA) - Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) RI menyerahkan dua bangunan rumah susun (Rusun) kepada Badan Pengusahaan (BP) Batam.    Menteri PUPR M Basuki Hadimuljono dalam rilis yang diterima di Batam, Kamis, mengatakan proses serah terima barang milik negara ini selaras dengan aspek akuntabilitas atas anggaran pada Kementerian PUPR sesuai arahan Kementerian Keuangan, yang menekankan prinsip pemanfaatan dan berorientasi kepada kesejahteraan sosial.  Baca juga: Kementerian PUPR bantu pembangunan Rusun untuk Bakamla RI di Batam    “Pembangunan ini kami laksanakan dari dana rakyat dan kami kembalikan lagi kepada rakyat dalam bentuk pemanfaatan infrastruktur oleh Pemerintah Daerah,” ujar Basuki.      Dua rusun yang diserahkan kepada BP Batam oleh Kementerian PUPR di Jakarta, Rabu (29/11) dan dihadiri Menteri Keuangan RI Sri Mulyani Indrawati tersebut adalah Rusun Kabil dan Rusun Tanjung Uncang.      Lebih lanjut, Menteri PUPR berharap, dengan diserahkannya dua rusun ini, akan terwujud kepercayaan publik kepada pemerintah untuk terus membangun negeri dan memakmurkan rakyat Indonesia.      Sementara itu, Anggota Bidang Administrasi dan Keuangan BP Batam Wahjoe Triwidijo Koentjoro menyebutkan penyerahan aset ini merupakan langkah awal BP Batam untuk meningkatkan pengelolaan rusun, baik dari segi fasilitas maupun layanannya.  Baca juga: Kementerian PUPR bangun Rusun STT Real Batam Rp16,8 miliar   Baca juga: Pemkot Batam siapkan tiga rumah susun untuk warga Rempang      “Yang jelas kami harus menyusun strategi peningkatan pendapatan atas kedua rusun yang telah diserahkan. Karena, kalau sebaliknya, aset ini akan jadi beban di BP Batam. Ini yang kita antisipasi,” katanya.      Menurutnya, dengan pemasaran yang baik, cita-cita tersebut dapat tercapai. “Sesuai arahan Kepala BP Batam, aset ini harus kita maksimalkan agar pendapatan yang diterima dapat kita olah untuk melakukan pemeliharaan kedua rusun tersebut,” ujarnya. Pewarta: Ilham Yude PratamaEditor: Endang Sukarelawati    COPYRIGHT © ANTARA 2023 ",hukum
" Kamis, 30 November 2023 12:49 WIB",,Kaltim kerahkan 17 ribu Satlinmas bantu amankan pemilu 2024,                     ANTARA - Sekitar 17 ribu anggota Satuan Perlindungan Masyarakat (Satlinmas) dikerahkan untuk membantu pengamanan pemilihan umum 2024 di Kalimantan Timur. Para Satlinmasberada di bawah komando Kepolisian Daerah Kaltim untuk mengamankan tahapan pemungutan suara dan penghitungan suara pada 14 Februari 2024 mendatang.  (Hanifan Ma'ruf/Rizky Bagus Dhermawan/I Gusti Agung Ayu N)        ,hukum
